document,0,1,2,3,4,5,6,7,8,9,10,11
338,,0.09952161,,0.2630809,0.18545702,,0.14786553,,0.2016125,,,0.0937724
339,,0.21973906,,,0.39640987,0.14218007,0.11224832,,0.104182586,,,
340,,,,0.074027196,0.60069877,0.05639283,0.11488256,,0.13469295,,,
341,0.047344454,,0.23745327,0.2964353,0.18308191,0.083363496,0.07415123,,,,,0.06342385
342,,,,0.20291469,0.3213923,,0.3170001,,0.055575956,0.0819993,,
343,0.11027709,,,0.22292277,0.40326166,0.102991074,,,0.13807335,,,
344,,,0.06851824,0.14236009,0.365596,,,,0.37098145,0.038976964,,
345,,,,0.07570338,0.20227355,,0.37251148,,0.28865558,0.037425224,,
346,0.10838281,,,0.27955085,0.21434158,0.09418989,,,0.14387463,,0.13969013,
347,0.048148364,,,0.2966726,0.24873586,0.17758559,,,0.16437288,,0.044825267,
