document,0,1,2,3,4,5,6,7,8,9,10
251,0.2418722,0.059616704,0.044303536,0.36771718,0.267262,,,,,,
252,,0.055972345,,0.61644334,0.12488969,,,,,0.19389024,
253,,0.64265424,0.042183522,,0.19089475,,0.039191432,,,,0.08063038
254,,0.30384547,,,0.43092942,0.07978757,,,0.036232974,,0.13131204
255,,,,0.069777824,0.51642096,0.11032976,,,,0.11948109,0.16083589
256,,0.15154797,,0.021867648,0.30752927,,,0.246601,,,0.253926
257,,0.059192672,,0.27669296,0.32897872,0.10513342,,,,0.12578888,0.09411831
258,0.19066401,0.51624924,0.055229988,0.11713682,,0.104414545,,,,,
259,,0.12046765,,0.49203554,0.21268201,0.042451877,,,,,0.11214732
260,,0.05401392,,0.13870028,0.38907865,,,,0.014142584,,0.3833317
261,,0.13751741,,,0.6363022,0.021763245,,,0.022307275,0.09071638,0.073209964
262,,0.15246566,,0.1683555,0.2869072,0.05559163,,0.14730272,,,0.17431693
263,,0.14231034,,0.02343825,0.28359988,0.09036081,,0.15686928,,,0.2894364
264,0.107516006,0.6657183,,0.030617032,,0.1619969,,,,0.023286156,
265,,0.039600994,,0.5809547,0.108963795,,,,,0.26258695,
266,0.09289759,0.26650196,,,0.44449025,,,,,0.06275935,0.1124618
267,0.05692322,0.23996487,,0.3265887,0.14686456,,,,,,0.21263061
268,,0.3859035,,0.23619327,0.19392323,,0.07383128,,0.019138075,,0.08064934
269,0.0784941,0.14489263,,0.55943245,0.1575284,,,,,,0.04626432
270,,0.1519101,,,0.54718477,0.06922363,,,,0.14916088,0.062494237
271,0.19583236,0.40552354,0.033144154,,,,,0.31526798,,0.031587712,
272,,0.10231046,,0.20699725,0.36011004,,0.08703187,,,0.22491717,
273,,0.259868,,0.10972028,0.32007778,,0.07940278,,,,0.2095338
274,0.09719693,0.098184094,,0.32345247,0.33149266,,,,,0.1377534,
275,0.6872068,0.07927082,0.04850349,,0.16794042,0.01213163,,,,,
276,,0.28710952,,,0.23040856,0.14776558,0.101338096,0.12676382,,0.09012109,
277,,0.12411501,,0.06374021,0.2600098,0.07404462,0.06904265,,,,0.3936451
278,,0.38036022,,0.07925264,0.20469658,0.036934786,,,,0.16172473,0.11806084
279,,0.08597779,,0.0996394,0.19774055,,0.30007568,0.29376858,,,
